% Model:              three_layers.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 12 2022, 17:16
% Dimension:          2
% Nodes:              2889
% Expressions:        1
% Description:        表面
% R                       Z                        Color
0.001014002979420703      2.2309451821292707E-4    5783.294851248749
9.739113832897715E-4      1.7847561457034165E-4    6541.2309210769445
9.338197871588399E-4      1.338567109277562E-4     7269.1207638007345
8.937281910279084E-4      8.923780728517081E-5     8001.00303761175
8.53636594896977E-4       4.461890364258543E-5     8734.9281313391
8.135449987660456E-4      0                        8611.663282241117
0.0010477849504035822     1.7847561457034165E-4    5481.5560856833745
0.0010076933542726508     1.3385671092775624E-4    6055.937176171168
9.67601758141719E-4       8.92378072851708E-5      6627.713921590832
9.275101620107876E-4      4.46189036425854E-5      7197.541246718277
8.874185658798564E-4      1.2384233539382398E-20   7765.300991863963
0.0010815669213864612     1.338567109277562E-4     5307.281265824917
0.00104147532525553       8.923780728517083E-5     5780.995777833923
0.0010013837291245984     4.4618903642585386E-5    6352.374223437571
9.612921329936667E-4      -1.8576350309073597E-20  6921.530415291406
0.0011153488923693403     8.923780728517081E-5     5138.506130229387
0.001075257296238409      4.4618903642585413E-5    5514.863951768169
0.0010351657001074774     -1.8576350309073597E-20  6085.104321080654
0.0011491308633522195     4.461890364258543E-5     4976.209387572602
0.001109039267221288      -2.4768467078764796E-20  5259.062474621602
0.0011829128343350988     0                        4611.349968822356
2.840355034349777E-4      2.706295966149326E-4     16533.80348444748
2.2722840274798215E-4     2.1650367729194605E-4    17831.366233169934
1.7042130206098658E-4     1.623777579689595E-4     18342.147758514016
1.1361420137399105E-4     1.08251838645973E-4      18978.466526074964
5.680710068699555E-5      5.412591932298653E-5     19726.598725199743
0                         0                        20573.01147315686
3.1822840274798214E-4     2.1650367729194605E-4    20366.6702923805
2.6142130206098665E-4     1.6237775796895952E-4    19753.49543144454
2.0461420137399107E-4     1.0825183864597301E-4    20191.091069365608
1.4780710068699551E-4     5.4125919322986485E-5    20711.611295715673
9.100000000000002E-5      1.502296046534582E-20    21308.050468445806
3.524213020609866E-4      1.623777579689595E-4     23926.73176803527
2.956142013739911E-4      1.0825183864597302E-4    22230.422892999017
2.388071006869955E-4      5.412591932298648E-5     22767.947610681156
1.8199999999999998E-4     -2.2534440698018735E-20  23374.332514705387
3.86614201373991E-4       1.08251838645973E-4      27549.095276010998
3.298071006869955E-4      5.412591932298651E-5     24812.483779642804
2.7299999999999997E-4     -2.2534440698018735E-20  25428.267521212754
4.2080710068699556E-4     5.412591932298653E-5     31215.611948375088
3.6400000000000007E-4     -3.0045920930691647E-20  27469.85493735079
4.55E-4                   0                        39936.44509075663
7.823015337341122E-4      7.600095053611833E-5     7541.901799274256
7.510580687021788E-4      1.5200190107223662E-4    6704.76059842869
7.198146036702455E-4      2.280028516083549E-4     6277.046225837618
6.885711386383123E-4      3.0400380214447325E-4    6556.911611833263
6.57327673606379E-4       3.8000475268059155E-4    8663.305911944859
7.418359990128365E-4      0                        14532.691138331767
7.105925339809031E-4      7.600095053611834E-5     13413.169555715967
6.793490689489698E-4      1.5200190107223665E-4    12470.995098640145
6.481056039170364E-4      2.280028516083549E-4     11750.93728786434
6.168621388851033E-4      3.040038021444733E-4     11890.378257606186
6.701269992596271E-4      0                        23194.886050148343
6.388835342276941E-4      7.600095053611833E-5     22268.650643321267
6.076400691957607E-4      1.5200190107223662E-4    21459.06634170065
5.763966041638273E-4      2.280028516083549E-4     19502.735507065823
5.984179995064181E-4      0                        32063.1004463029
5.671745344744849E-4      7.600095053611833E-5     31226.594291556798
5.359310694425516E-4      1.5200190107223662E-4    27845.88415334712
5.267089997532091E-4      0                        41004.85541065429
4.954655347212758E-4      7.600095053611833E-5     36444.67253527856
0.001315917592737787      2.407585966442702E-4     3611.5673439223824
0.0012893166410572498     1.9260687731541618E-4    3566.134486226543
0.0012627156893767115     1.4445515798656208E-4    3839.3187306349155
0.0012361147376961736     9.630343865770806E-5     4119.0358498222695
0.0012095137860156364     4.815171932885406E-5     4403.864612374211
0.0013547340741902297     1.9260687731541618E-4    3928.981454387188
0.0013281331225096923     1.444551579865621E-4     4134.378978165179
0.0013015321708291542     9.630343865770806E-5     4331.551766639518
0.0012749312191486166     4.815171932885402E-5     4537.832225286792
0.0012483302674680791     1.3364786868545481E-20   4751.91480717486
0.0013935505556426722     1.4445515798656208E-4    4564.88271621614
0.0013669496039621348     9.630343865770809E-5     5055.083621943152
0.0013403486522815971     4.8151719328854E-5       5233.243525358901
0.0013137477006010592     -2.0047180302818228E-20  5419.83358347026
0.0014323670370951147     9.630343865770806E-5     5360.656488791859
0.001405766085414577      4.815171932885404E-5     5995.45052100319
0.0013791651337340394     -2.0047180302818228E-20  6159.447923979074
0.0014711835185475576     4.815171932885406E-5     6262.593621310456
0.0014445825668670201     -2.6729573737090972E-20  6947.390571921929
0.00151                   0                        6134.882370820083
2.2722840274798215E-4     3.0110396627700616E-4    15578.934846478765
1.7042130206098658E-4     3.315783359390797E-4     14637.664008785454
1.1361420137399105E-4     3.6205270560115327E-4    13741.111800325743
5.680710068699555E-5      3.9252707526322696E-4    12900.116507899838
0                         4.230014449253005E-4     11820.687985713512
1.7042130206098663E-4     2.469780469540197E-4     17036.056261869926
1.1361420137399106E-4     2.7745241661609327E-4    15888.209651164567
5.680710068699551E-5      3.0792678627816674E-4    14805.56719033975
1.5767137786225496E-20    3.3840115594024043E-4    13804.755884769429
1.1361420137399109E-4     1.9285212763103316E-4    17842.026481291246
5.68071006869955E-5       2.233264972931067E-4     16796.19629509768
-2.365070667933825E-20    2.5380086695518027E-4    15825.7953567286
5.680710068699554E-5      1.3872620830804663E-4    18798.631353853652
-2.365070667933825E-20    1.6920057797012016E-4    17852.443167065136
-3.1534275572451E-20      8.460028898506011E-5     19883.056904260335
0.0010563839454305294     5.095112756534244E-4     3808.279613507533
0.0011020198682611267     5.876090205227397E-4     3402.880070048539
0.0011476557910917236     6.657067653920547E-4     3021.2814289291573
0.001193291713922321      7.438045102613699E-4     2639.0472223538777
0.0012389276367529183     8.219022551306851E-4     2256.558883569587
0.0012845635595835152     9.000000000000002E-4     1884.940584047231
9.71064258939281E-4       5.876090205227397E-4     3625.9230471295505
0.0010167001817698784     6.657067653920547E-4     3310.9515094376834
0.0010623361046004755     7.438045102613699E-4     2949.1211915173512
0.0011079720274310724     8.219022551306849E-4     2586.3346550625224
0.00115360795026167       9.000000000000002E-4     2222.738136971331
8.857445724480325E-4      6.657067653920547E-4     3554.4899733589573
9.3138049527863E-4        7.438045102613701E-4     3281.138293563853
9.77016418109227E-4       8.21902255130685E-4      2917.3207800873383
0.001022652340939824      9.000000000000001E-4     2552.9276903814925
8.004248859567842E-4      7.438045102613699E-4     3523.690169485763
8.460608087873815E-4      8.219022551306851E-4     3299.224687595552
8.916967316179784E-4      9.000000000000002E-4     2939.931995497781
7.151051994655359E-4      8.219022551306851E-4     3534.4364929989356
7.607411222961332E-4      9.000000000000004E-4     3364.162067760581
6.297855129742875E-4      9.000000000000002E-4     3375.185266779718
0.0016287009236183288     2.357996587873675E-4     2097.281231406957
0.001604960738894663      1.8863972702989402E-4    2588.356462648988
0.0015812205541709972     1.4147979527242047E-4    3198.870817300035
0.0015574803694473312     9.431986351494698E-5     3870.2029068328834
0.001533740184723666      4.715993175747352E-5     4581.258281922923
0.0016829607388946632     1.8863972702989402E-4    1957.745876027759
0.0016592205541709976     1.414797952724205E-4     2128.1297635768196
0.0016354803694473314     9.431986351494698E-5     2462.2926085858103
0.0016117401847236656     4.7159931757473484E-5    2895.0239051356334
0.0015880000000000002     1.308951051922455E-20    3388.8370151665304
0.001737220554170997      1.4147979527242047E-4    1699.596676810143
0.0017134803694473317     9.431986351494701E-5     1934.327003005225
0.0016897401847236655     4.715993175747348E-5     2342.7815039632374
0.0016659999999999997     -1.9634265778836827E-20  2832.284943433771
0.0017914803694473313     9.431986351494698E-5     1483.46734097653
0.0017677401847236657     4.7159931757473505E-5    1791.6746960399234
0.0017439999999999997     -1.9634265778836827E-20  2273.4442461843655
0.0018457401847236658     4.715993175747352E-5     1329.3477262021456
0.001822                  -2.6179021038449103E-20  1712.5798428235455
0.0019                    0                        1259.861907610179
0.0016829607388946632     2.6996208467693864E-4    1943.0445412375057
0.0017372205541709975     2.2280215291946507E-4    1744.8908355818944
0.0017914803694473315     1.7564222116199152E-4    1511.996665088269
0.0018457401847236654     1.2848228940451803E-4    1335.9781274767386
0.0019000000000000002     8.132235764704457E-5     1240.8730358167259
0.001737220554170997      3.0412451056650955E-4    1731.5152177184332
0.0017914803694473317     2.5696457880903617E-4    1517.8508621647413
0.0018457401847236656     2.0980464705156257E-4    1294.5364114695262
0.0018999999999999996     1.6264471529408903E-4    1142.2987860288474
0.0017914803694473313     3.382869364560806E-4     1519.0744272219627
0.0018457401847236656     2.9112700469860714E-4    1290.821305623937
0.0018999999999999993     2.4396707294113354E-4    1081.4386643057983
0.0018457401847236658     3.724493623456517E-4     1305.8090309605598
0.0019                    3.2528943058817816E-4    1064.5154772374256
0.0018999999999999998     4.0661178823522267E-4    1081.1252459064042
0.0018999999999999998     5.052894305881782E-4     963.5983934194412
0.0018999999999999996     6.039670729411336E-4     878.5968027279654
0.0018999999999999993     7.02644715294089E-4      808.1593963476952
0.0019000000000000002     8.013223576470447E-4     756.4287067314427
0.0019                    9.000000000000001E-4     790.2637530179865
0.001822672391275277      4.3143646440852584E-4    1197.8821666227418
0.001822672391275277      5.301141067614814E-4     1115.4667470695488
0.0018226723912752765     6.287917491144368E-4     1049.0264342787375
0.0018226723912752765     7.274693914673922E-4     996.8198978612618
0.0018226723912752774     8.26147033820348E-4      1005.9029106134994
0.001745344782550553      4.5626114058182896E-4    1350.7847239887215
0.0017453447825505539     5.549387829347847E-4     1288.229298928282
0.0017453447825505535     6.5361642528774E-4       1236.4358444081522
0.001745344782550553      7.522940676406953E-4     1222.0832213647068
0.00166801717382583       4.81085816755132E-4      1525.0234090380707
0.0016680171738258302     5.797634591080877E-4     1474.7285808130732
0.0016680171738258298     6.78441101461043E-4      1437.6320399945616
0.0015906895651011071     5.059104929284353E-4     1714.319679943329
0.0015906895651011071     6.045881352813908E-4     1652.0422365951422
0.0015133619563763836     5.307351691017384E-4     1884.4555337492122
0.0014676022770178099     6.045881352813908E-4     1832.7572776558545
0.0015449298857425331     6.784411014610431E-4     1615.804229136457
0.0016222574944672566     7.522940676406955E-4     1423.729885591072
0.0016995851031919797     8.261470338203477E-4     1230.717403377834
0.0017769127119167034     9.000000000000002E-4     1037.232869627662
0.001421842597659236      6.784411014610429E-4     1812.2062316143683
0.00149917020638396       7.522940676406957E-4     1617.5892793334497
0.001576497815108683      8.261470338203478E-4     1428.8123829974825
0.001653825423833406      9.000000000000001E-4     1240.6976952407629
0.0013760829183006623     7.522940676406953E-4     1806.387641473185
0.001453410527025386      8.26147033820348E-4      1638.6956528334194
0.0015307381357501093     9.000000000000002E-4     1455.7426737255319
0.0013303232389420892     8.26147033820348E-4      1815.2372421231457
0.0014076508476668125     9.000000000000004E-4     1678.2389837273913
3.0784984356850944E-4     5.50141785468771E-4      8207.766660869915
2.4627987485480754E-4     6.201134283750168E-4     7459.143505583583
1.8470990614110561E-4     6.900850712812625E-4     6561.843488263648
1.2313993742740374E-4     7.600567141875083E-4     5697.813706539047
6.156996871370191E-5      8.300283570937543E-4     4890.461796748576
0                         9.000000000000001E-4     4182.664937313806
2.4627987485480754E-4     5.247137173600769E-4     8940.736020304812
1.8470990614110564E-4     5.946853602663228E-4     7947.096797718777
1.2313993742740374E-4     6.646570031725685E-4     6917.83740261368
6.156996871370186E-5      7.346286460788141E-4     5955.0900202357425
1.7089099222850592E-20    8.046002889850602E-4     5099.153654205182
1.8470990614110561E-4     4.992856492513826E-4     9597.703987191315
1.2313993742740377E-4     5.692572921576287E-4     8483.738133122815
6.156996871370184E-5      6.392289350638744E-4     7500.658709883171
-2.5633648834275888E-20   7.0920057797012E-4       6592.465387241982
1.2313993742740374E-4     4.738575811426886E-4     10305.922998482185
6.156996871370188E-5      5.438292240489346E-4     9055.662342952854
-2.5633648834275888E-20   6.138008669551802E-4     8116.328447633391
6.156996871370191E-5      4.484295130339946E-4     11054.497320159462
-3.4178198445701184E-20   5.184011559402405E-4     9656.182007796451
3.722369774496651E-4      6.201134283750168E-4     7143.188035692338
4.3662411133082063E-4     6.900850712812625E-4     6099.348093590392
5.010112452119763E-4      7.600567141875083E-4     5075.410423003251
5.653983790931319E-4      8.300283570937543E-4     4086.2258941600526
3.1066700873596327E-4     6.900850712812627E-4     6372.942024751785
3.7505414261711873E-4     7.600567141875085E-4     5298.22968049917
4.394412764982743E-4      8.300283570937542E-4     4252.8175716424585
5.038284103794301E-4      9.000000000000002E-4     3264.816862705606
2.490970400222613E-4      7.600567141875085E-4     5644.473165605636
3.134841739034169E-4      8.300283570937543E-4     4556.822864740417
3.778713077845724E-4      9.000000000000001E-4     3496.21222293806
1.875270713085594E-4      8.300283570937544E-4     4928.199041314138
2.5191420518971494E-4     9.000000000000002E-4     3826.776910804631
1.2595710259485752E-4     9.000000000000003E-4     4231.952659357049
0.0011757318150327572     9.277062297143946E-5     4927.685494633219
0.0012023327667132948     1.409223423002935E-4     4593.340485171386
0.0012289337183938325     1.8907406162914752E-4    4261.52999133007
0.0012555346700743703     2.372257809580016E-4     3926.4747283200254
0.001141949844049878      1.3738952661402487E-4    4994.988602096652
0.0011685507957304158     1.8554124594287891E-4    4656.672198207983
0.0011951517474109532     2.3369296527173293E-4    4316.906866972036
0.0011081678730669989     1.8200843025661028E-4    5063.913945552333
0.0011347688247475367     2.3016014958546433E-4    4726.250380283369
0.0010743859020841198     2.266273338991957E-4     5150.170716288731
3.58693937469258E-4       2.925046278280644E-4     14140.404232700916
3.9288683678226246E-4     2.3837870850507788E-4    18472.722813060387
4.270797360952669E-4      1.8425278918209132E-4    23203.756704424803
4.6127263540827134E-4     1.3012686985910482E-4    27937.190226790382
4.3335237150353824E-4     3.143796590411962E-4     12370.773796383728
4.675452708165427E-4      2.6025373971820965E-4    15921.1661623375
5.017381701295471E-4      2.0612782039522312E-4    20549.60322121523
5.080108055378185E-4      3.3625469025432795E-4    11031.607494450858
5.422037048508229E-4      2.821287709313414E-4     13844.139298422811
5.826692395720987E-4      3.581297214674598E-4     10338.029967912338
9.426679182578382E-4      2.5447656510645995E-4    6478.5190565692665
8.713328570949734E-4      2.8585861199999284E-4    7096.5579987168185
7.999977959321086E-4      3.172406588935258E-4     7807.956467328432
7.286627347692436E-4      3.4862270578705866E-4    8586.612630239408
9.025763221269067E-4      2.0985766146387454E-4    7367.373488560846
8.312412609640418E-4      2.4123970835740742E-4    8187.295109529592
7.599061998011771E-4      2.726217552509403E-4     9150.738899598397
8.624847259959751E-4      1.6523875782128913E-4    8185.065895536665
7.911496648331103E-4      1.9662080471482204E-4    8931.457671385908
8.223931298650437E-4      1.2061985417870371E-4    9024.734778669555
