% Model:              three_layers.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 12 2022, 17:26
% Dimension:          2
% Nodes:              2889
% Expressions:        1
% Description:        表面
% R                       Z                        Color
0.001014002979420703      2.2309451821292707E-4    3533.918055234785
9.739113832897715E-4      1.7847561457034165E-4    3959.5515885932064
9.338197871588399E-4      1.338567109277562E-4     4364.153581786055
8.937281910279084E-4      8.923780728517081E-5     4770.313326643114
8.53636594896977E-4       4.461890364258543E-5     5175.715061207078
8.135449987660456E-4      0                        5022.901823901988
0.0010477849504035822     1.7847561457034165E-4    3272.1419726201475
0.0010076933542726508     1.3385671092775624E-4    3584.0610708865106
9.67601758141719E-4       8.92378072851708E-5      3883.7478263008966
9.275101620107876E-4      4.46189036425854E-5      4179.828632634266
8.874185658798564E-4      1.2384233539382398E-20   4471.816392970598
0.0010815669213864612     1.338567109277562E-4     3099.0384338067815
0.00104147532525553       8.923780728517083E-5     3341.5930302784
0.0010013837291245984     4.4618903642585386E-5    3639.4411498551653
9.612921329936667E-4      -1.8576350309073597E-20  3933.307216533303
0.0011153488923693403     8.923780728517081E-5     2931.9568751004153
0.001075257296238409      4.4618903642585413E-5    3107.8902181605335
0.0010351657001074774     -1.8576350309073597E-20  3403.442980001212
0.0011491308633522195     4.461890364258543E-5     2772.6950812880996
0.001109039267221288      -2.4768467078764796E-20  2885.6258052228045
0.0011829128343350988     0                        2505.8844403468884
2.840355034349777E-4      2.706295966149326E-4     11133.680124848153
2.2722840274798215E-4     2.1650367729194605E-4    12004.048361804453
1.7042130206098658E-4     1.623777579689595E-4     12373.239020123681
1.1361420137399105E-4     1.08251838645973E-4      12814.12354435967
5.680710068699555E-5      5.412591932298653E-5     13316.736643570557
0                         0                        13871.751271403613
3.1822840274798214E-4     2.1650367729194605E-4    13543.77820872308
2.6142130206098665E-4     1.6237775796895952E-4    13213.223721994453
2.0461420137399107E-4     1.0825183864597301E-4    13538.017703074845
1.4780710068699551E-4     5.4125919322986485E-5    13908.207547520624
9.100000000000002E-5      1.502296046534582E-20    14318.013993737824
3.524213020609866E-4      1.623777579689595E-4     15764.664691503354
2.956142013739911E-4      1.0825183864597302E-4    14762.746311615143
2.388071006869955E-4      5.412591932298648E-5     15154.167761733
1.8199999999999998E-4     -2.2534440698018735E-20  15582.120380469301
3.86614201373991E-4       1.08251838645973E-4      18015.796036441894
3.298071006869955E-4      5.412591932298651E-5     16370.23682993117
2.7299999999999997E-4     -2.2534440698018735E-20  16816.032215351774
4.2080710068699556E-4     5.412591932298653E-5     20287.341322763947
3.6400000000000007E-4     -3.0045920930691647E-20  18019.783866067097
4.55E-4                   0                        25671.395787132176
