% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 11 2022, 11:36
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5640359243922968       -0.7616943060470338
330000000                0.49161784511413986      -0.8088216761379624
360000000                0.41542550442912224      -0.8491859434680636
390000000                0.33606380076945896      -0.8824846153254182
420000000                0.2541632878497568       -0.9084686455621072
450000000                0.17037940328853074      -0.9269436722681852
480000000                0.08538589542537114      -0.9377733386156
510000000                -1.3092595489361258E-4   -0.9408814731170777
540000000                -0.0854781062441445      -0.9362535880801766
570000000                -0.16996203387329648     -0.9239377109477278
600000000                -0.25289445740949257     -0.9040445748266835
630000000                -0.33359848109005097     -0.876747186156777
660000000                -0.41141449236424166     -0.8422797832553539
690000000                -0.4857059676203269      -0.8009362002509607
720000000                -0.5558651029752756      -0.7530676523260582
750000000                -0.6213182158629673      -0.6990799625840407
780000000                -0.6815308642769691      -0.639430254041766
810000000                -0.7360126297065078      -0.5746231374460467
840000000                -0.7843215138813004      -0.5052064290504537
870000000                -0.8260679012565462      -0.4317664397009666
900000000                -0.8609180438603454      -0.3549228803287108
930000000                -0.8885970288688662      -0.27532343593786784
960000000                -0.9088911963844268      -0.1936380622677767
990000000                -0.9216499795971036      -0.11055306500205515
1020000000               -0.9267871472042355      -0.02676502371616564
1050000000               -0.9242814349453804      0.0570253757325383
1080000000               -0.9141765605160874      0.14011953423741597
1110000000               -0.8965806238341534      0.2218270929600097
1140000000               -0.8716649021358365      0.3014719821195375
1170000000               -0.8396620569798601      0.3783983020854202
1200000000               -0.8008637768266038      0.4519759773309824
1230000000               -0.7556178861814609      0.5216061255929098
1260000000               -0.7043249574257641      0.5867260911735968
1290000000               -0.6474344674309006      0.6468140948133404
1320000000               -0.5854405454197139      0.701393458798198
1350000000               -0.5188773615857035      0.7500363727026778
1380000000               -0.44831420983554376     0.7923671701456759
1410000000               -0.37435033908323734     0.8280650947834783
1440000000               -0.29760958863337555     0.8568665397783314
1470000000               -0.21873488394327137     0.8785667511971655
1500000000               -0.1383826475098575      0.8930209926798125
1530000000               -0.05721717915900851     0.900145173874234
1560000000               0.024094942417848132     0.8999159511590373
1590000000               0.10489038788136718      0.8923703139663633
1620000000               0.184514488386761        0.8776046744274796
1650000000               0.2623264869876342       0.8557734820783263
1680000000               0.3377045906446123       0.8270873886832759
1710000000               0.4100507877922267       0.7918109907987586
1740000000               0.47879539885259703      0.750260180241334
1770000000               0.5434013326156368       0.7027991338370463
1800000000               0.6033680236404582       0.6498369754667278
1830000000               0.6582350306161366       0.5918241437687819
1860000000               0.7075852782910265       0.5292484994622776
1890000000               0.7510479291738431       0.46263120619331277
1920000000               0.7883008740694951       0.3925224186580223
1950000000               0.8190728332891549       0.31949681128092716
1980000000               0.8431450629326971       0.24414898001749435
2010000000               0.8603526627013953       0.16708874971042387
2040000000               0.8705854841145101       0.08893641792775447
2070000000               0.8737886395926481       0.010317966062017694
2100000000               0.8699626147610389       -0.06813973231470882
2130000000               0.8591629880409628       -0.14581367678196372
2.16E9                   0.8414997631327769       -0.22208945094850094
2.19E9                   0.8171363215849496       -0.29636585091983103
2.22E9                   0.7862880041921475       -0.36805940494210154
2.25E9                   0.7492203314362413       -0.4366087586117824
2.28E9                   0.7062468743627875       -0.5014789016361371
2.31E9                   0.6577267880931583       -0.5621652138077565
2.34E9                   0.6040620198795573       -0.6181973101131869
2.37E9                   0.5456942019019202       -0.6691426666840432
2.4E9                    0.48310123455288656      -0.714610010322531
2.43E9                   0.4167935595617156       -0.7542524510489919
2.46E9                   0.34731011406707374      -0.7877703276182239
2.49E9                   0.27521395373918905      -0.8149137146281238
2.52E9                   0.20108754485248126      -0.8354845082916876
2.55E9                   0.1255277676269717       -0.8493379763141164
2.58E9                   0.04914075036645027      -0.8563836553380135
2.61E9                   -0.02746325874474156     -0.8565855442434908
2.64E9                   -0.10367474565431004     -0.8499616827472565
2.67E9                   -0.1788893690097263      -0.8365833573549315
2.7E9                    -0.2525120498426965      -0.8165742187262849
2.73E9                   -0.3239609649195114      -0.7901094553026158
2.76E9                   -0.39267171334594864     -0.7574149300073654
2.79E9                   -0.4581017650058057      -0.7187660237943366
2.82E9                   -0.5197350919064071      -0.6744859400193266
2.85E9                   -0.5770867693668514      -0.6249433546690684
2.88E9                   -0.6297073390635162      -0.5705494357224773
2.91E9                   -0.6771867952900161      -0.5117543315530078
2.94E9                   -0.7191581280145813      -0.44904324171704024
2.97E9                   -0.7553004010929272      -0.3829321647615484
3.0E9                    -0.7853413624420033      -0.31396339372466225
3.03E9                   -0.8090595864021047      -0.24270081245748118
3.06E9                   -0.8262861462918235      -0.16972503711860865
3.09E9                   -0.8369058128558674      -0.09562844471933406
3.12E9                   -0.8408577741218807      -0.02101013125325382
3.15E9                   -0.8381358741386411      0.0535291567597196
3.18E9                   -0.82878837146739        0.12739207172751282
3.21E9                   -0.8129172228583539      0.19998964935187596
3.24E9                   -0.7906769024341465      0.27074618219393176
3.27E9                   -0.7622727716233076      0.339103937891059
3.3E9                    -0.7279590198389929      0.4045276793731839
3.33E9                   -0.6880362001952239      0.46650894727613523
3.36E9                   -0.6428483883866996      0.5245700677967848
3.39E9                   -0.5927799963199362      0.5782678526279507
3.42E9                   -0.5382522750173749      0.6271969614492277
3.45E9                   -0.4797195436993944      0.6709929015598849
3.48E9                   -0.417665184182525       0.7093346432007088
3.51E9                   -0.3525974410663529      0.7419468337669168
3.54E9                   -0.2850450695166304      0.768601598372827
3.57E9                   -0.21555287271613308     0.789119919128606
3.6E9                    -0.14467717128398672     0.8033725899342676
3.63E9                   -0.07298124608205007     0.8112807484619813
3.66E9                   -0.0010307943960713218   0.8128159913952624
3.69E9                   0.07061056267000741      0.8080000830888552
3.72E9                   0.14138568659419626      0.796904271168269
3.75E9                   0.2107482098443345       0.7796482250113396
3.78E9                   0.27816667757733987      0.7563986143837402
3.81E9                   0.3431285161859432       0.7273673460190069
3.84E9                   0.4051438037461109       0.6928094760867294
3.87E9                   0.46374881774143084      0.6530208168761376
3.9E9                    0.5185093347559792       0.6083352575596578
3.93E9                   0.5690236563317825       0.5591218219297116
3.96E9                   0.6149253355457284       0.5057814906738546
3.99E9                   0.6558855811830991       0.4487438218048901
4.02E9                   0.6916153219077579       0.3884634088292113
4.05E9                   0.7218669215518905       0.3254162202924064
4.08E9                   0.7464355472952917       0.260095865006921
4.11E9                   0.765160203459903        0.19300982212229975
4.14E9                   0.7779244507517267       0.12467566602292784
4.17E9                   0.7846568323036259       0.055617304424349714
4.2E9                    0.7853310231188211       -0.01363876155968155
4.23E9                   0.7799657110442251       -0.08256715083183751
4.26E9                   0.7686242095440452       -0.15064728264152416
4.29E9                   0.7514137990481559       -0.21736701111169787
4.32E9                   0.7284847955409298       -0.2822261957158498
4.35E9                   0.7000293502166088       -0.34474018674076357
4.38E9                   0.6662799886057258       -0.4044432075135581
4.41E9                   0.6275078985987662       -0.4608916194536143
4.44E9                   0.5840209736991676       -0.5136670595407831
4.47E9                   0.5361616128780241       -0.5623794391996129
4.5E9                    0.48430427459076475      -0.6066697889979031
4.53E9                   0.42885278248470426      -0.6462129263169669
4.56E9                   0.37023738510061616      -0.6807199159698357
4.59E9                   0.308911579653147        -0.7099402898065779
4.62E9                   0.24534871972839697      -0.7336639908093062
4.65E9                   0.1800384358734114       -0.7517230108459318
4.68E9                   0.11348290471252867      -0.76399269822209
4.71E9                   0.046193006267043125     -0.7703927196311295
4.74E9                   -0.02131559090671722     -0.7708876701342772
4.77E9                   -0.08852638042457919     -0.7654873321874005
4.8E9                    -0.15492597334410654     -0.7542465891145345
4.83E9                   -0.22000803232484545     -0.737264999362214
4.86E9                   -0.2832771623053937      -0.7146860358450744
4.89E9                   -0.3442527355990646      -0.6866959916502365
4.92E9                   -0.40247262667992123     -0.6535225513757897
4.95E9                   -0.4574968273369363      -0.6154330279601357
4.98E9                   -0.5089109087794453      -0.5727322681909904
5.01E9                   -0.5563292941919012      -0.5257602356887383
5.04E9                   -0.5993983046152164      -0.4748892867176606
5.07E9                   -0.6377989419399358      -0.42052116126014777
5.1E9                    -0.6712493761842813      -0.3630837182838096
5.13E9                   -0.6995071090446116      -0.30302745015397514
5.16E9                   -0.7223707926010503      -0.24082181561337063
5.19E9                   -0.739681690388167       -0.17695143263810392
5.22E9                   -0.7513247763091719      -0.11191217105723601
5.25E9                   -0.757229473033003       -0.04620718010072879
5.28E9                   -0.7573700337502645      0.019657120353915238
5.31E9                   -0.7517655688111561      0.08517506052827718
5.34E9                   -0.7404797143840657      0.14984572993138498
5.37E9                   -0.7236199368580382      0.21317694666119663
5.4E9                    -0.7013364677585339      0.2746891514041185
5.43E9                   -0.6738208699651337      0.33391918387282454
5.46E9                   -0.6413042456828544      0.39042389592957216
5.49E9                   -0.604055107346237       0.44378355676130454
5.52E9                   -0.5623769423425876      0.49360501024435505
5.55E9                   -0.5166055097823398      0.5395245526548115
5.58E9                   -0.46710591228729526     0.5812105082526662
5.61E9                   -0.4142694869696952      0.6183654913268966
5.64E9                   -0.3585105569930333      0.6507283539974095
5.67E9                   -0.30026307773987937     0.67807582781212
5.7E9                    -0.2399772004466293      0.700223871032399
5.73E9                   -0.1781157651441843      0.7170287296305066
5.76E9                   -0.11515072899741625     0.7283877093891147
5.79E9                   -0.051559540068153       0.7342396439361056
5.82E9                   0.01217851969191397      0.7345650366319312
5.85E9                   0.07558598194339404      0.7293858591092142
5.88E9                   0.1381907788893569       0.7187650049279126
5.91E9                   0.19952971953395854      0.7028054164919229
5.94E9                   0.2591518173405069       0.6816489183162033
5.97E9                   0.3166214479011778       0.6554747948755111
6.0E9                    0.37152132987094383      0.6244981471721728
