!Trace Data File
!Measurement: Smith Chart
!Data Points: 391
#Freq/Hz  Real  Image
1800000000  0.269353718  -0.383532256  
1810000000  -0.293755949  -0.382393599  
1820000000  -0.536479890  0.120945260  
1830000000  -0.177618086  0.569342613  
1840000000  0.401033908  0.404232144  
1850000000  0.441778541  -0.205436617  
1860000000  -0.104896955  -0.448385477  
1870000000  -0.533332765  -0.053810138  
1880000000  -0.370612711  0.499817848  
1890000000  0.208784759  0.605307639  
1900000000  0.555359304  0.105306014  
1910000000  0.212517977  -0.413544536  
1920000000  -0.392930925  -0.280944377  
1930000000  -0.504733503  0.314751238  
1940000000  -0.030717399  0.666184604  
1950000000  0.497615814  0.407965511  
1960000000  0.495714635  -0.190154195  
1970000000  -0.079646036  -0.420803905  
1980000000  -0.491713285  0.056152482  
1990000000  -0.185607180  0.586223662  
2000000000  0.423921794  0.509140968  
2010000000  0.598658800  -0.038549602  
2020000000  0.182462513  -0.445105284  
2030000000  -0.375975937  -0.204664633  
2040000000  -0.320532709  0.406445801  
2050000000  0.250960261  0.536201537  
2060000000  0.565594673  0.083948612  
2070000000  0.294236928  -0.377013564  
2080000000  -0.251348108  -0.306343079  
2090000000  -0.361330330  0.247923538  
2100000000  0.128332540  0.502168715  
2110000000  0.504209578  0.148939878  
2120000000  0.336603433  -0.311620384  
2130000000  -0.158958882  -0.342400759  
2140000000  -0.359851241  0.129408732  
2150000000  0.040871091  0.447058588  
2160000000  0.439736933  0.165116653  
2170000000  0.318246722  -0.288791925  
2180000000  -0.155065909  -0.354810029  
2190000000  -0.400722057  0.076591164  
2200000000  -0.068325356  0.455063194  
2210000000  0.386703700  0.266735852  
2220000000  0.367394060  -0.215558037  
2230000000  -0.099619918  -0.382909328  
2240000000  -0.444774926  0.004791847  
2250000000  -0.211565942  0.476779133  
2260000000  0.300691217  0.454820842  
2270000000  0.499029666  -0.004753107  
2280000000  0.158981323  -0.393298328  
2290000000  -0.362276852  -0.217190251  
2300000000  -0.376355827  0.344980836  
2310000000  0.117205411  0.560419023  
2320000000  0.508040786  0.233315676  
2330000000  0.400015056  -0.272998154  
2340000000  -0.153931916  -0.394597799  
2350000000  -0.471344650  0.121583544  
2360000000  -0.105581321  0.576645494  
2370000000  0.409051061  0.463584900  
2380000000  0.574182987  -0.009771320  
2390000000  0.225460902  -0.419135928  
2400000000  -0.353837490  -0.222253785  
2410000000  -0.305860490  0.412813544  
2420000000  0.247967303  0.551229954  
2430000000  0.586633742  0.183101237  
2440000000  0.474444866  -0.295906961  
2450000000  -0.055587001  -0.453749418  
2460000000  -0.417980224  0.063502431  
2470000000  0.003032934  0.519830585  
2480000000  0.492092073  0.307642758  
2490000000  0.543580532  -0.167754441  
2500000000  0.152774230  -0.473023862  
2510000000  -0.345450997  -0.208742142  
2520000000  -0.198015064  0.370638281  
2530000000  0.341084898  0.362737775  
2540000000  0.514834821  -0.071735717  
2550000000  0.227719590  -0.424338818  
2560000000  -0.252089828  -0.313512862  
2570000000  -0.295639575  0.210519418  
2580000000  0.173102602  0.365898162  
2590000000  0.429361314  0.014985196  
2600000000  0.217003852  -0.341216326  
2610000000  -0.218295038  -0.272697061  
2620000000  -0.281861067  0.189274892  
2630000000  0.129458532  0.359982610  
2640000000  0.397241771  0.054378297  
2650000000  0.218616202  -0.303012609  
2660000000  -0.215071440  -0.255279541  
2670000000  -0.293416828  0.207318917  
2680000000  0.114269935  0.404138267  
2690000000  0.422619998  0.129180983  
2700000000  0.314840734  -0.264341593  
2710000000  -0.137065858  -0.327246934  
2720000000  -0.344802678  0.137280539  
2730000000  0.039201371  0.453448445  
2740000000  0.432010949  0.255568773  
2750000000  0.464469373  -0.158581421  
2760000000  0.088351980  -0.419079602  
2770000000  -0.357807994  -0.112590358  
2780000000  -0.154380530  0.416904271  
2790000000  0.340930760  0.401252687  
2800000000  0.549172521  0.024065226  
2810000000  0.357550114  -0.372225940  
2820000000  -0.168724954  -0.391392857  
2830000000  -0.337226927  0.202136725  
2840000000  0.179260090  0.461860090  
2850000000  0.542670667  0.161798269  
2860000000  0.520467997  -0.264774084  
2870000000  0.134923220  -0.532852650  
2880000000  -0.374805689  -0.257135481  
2890000000  -0.201124415  0.368130505  
2900000000  0.369501978  0.341006130  
2910000000  0.556117535  -0.095260412  
2920000000  0.312521100  -0.483896315  
2930000000  -0.213298425  -0.480368614  
2940000000  -0.422969282  0.106727697  
2950000000  0.100370303  0.433504552  
2960000000  0.504013300  0.101728775  
2970000000  0.421854854  -0.355567247  
2980000000  -0.025532912  -0.531987190  
2990000000  -0.422760189  -0.156832129  
3000000000  -0.157882303  0.348276556  
3010000000  0.332604885  0.240451321  
3020000000  0.413177192  -0.181199655  
3030000000  0.080332696  -0.441596031  
3040000000  -0.330691278  -0.213692367  
